genre,appearances
Downtempo,4
Organic House / Downtempo,25
Melodic House & Techno,125
Techno (Raw / Deep / Hypnotic),49
Indie Dance,50
Tech House,207
House,186
Dance / Electro Pop,31
Progressive House,39
Organic House,6
Electronica,23
Deep House,149
UK Garage / Bassline,12
Drum & Bass,122
Bass House,43
Bassline,6
Techno (Peak Time / Driving),132
Juke / Footwork,3
Hard Techno,31
Trance,60
Jackin House,20
Minimal / Deep Tech,56
UK Garage,37
Breaks / Breakbeat / UK Bass,30
Funky House,14
Nu Disco / Disco,59
Funk / Soul,4
Afro House,29
Bass / Club,23
140 / Deep Dubstep / Grime,22
UK Funky,2
Grime,1
Reggae / Dancehall,1
Electro (Classic / Detroit / Modern),19
Afro / Latin,2
Dark Disco,1
Mainstage,1
Big Room,42
Electro House,19
Future House,11
Jungle,1
Deep,1
